episode,total_reward,mean_step_reward,total_profit_sum,mean_profit_per_agent,total_emissions,mean_gini
0,-4.647211588919163,-0.19363381620496511,22.14670882129576,3.691118136882627,205.4868742809631,0.18921080764729878
1,-11.62093947827816,-0.4842058115949233,16.46748519173707,2.7445808652895116,203.36932106222957,0.24849300588286224
2,-7.939856685698032,-0.3308273619040847,20.38664210443676,3.3977736840727935,205.22431148140458,0.24510771300903764
3,-10.607700191438198,-0.4419875079765916,19.645946328062564,3.2743243880104274,206.81254108760186,0.30737419288546386
4,-7.494512729346752,-0.31227136372278136,19.57253829948604,3.262089716581007,209.5528105914127,0.18756946761545254
5,-9.055109679698944,-0.37729623665412265,16.98431425040326,2.8307190417338766,206.13184165421035,0.16769008013434125
6,-11.732748728245497,-0.48886453034356236,16.58282986935228,2.76380497822538,200.18974318996334,0.2674927827313436
7,-10.449610993266106,-0.4354004580527544,15.893299424555153,2.6488832374258586,200.59164630708983,0.198393480184747
8,-11.8605497777462,-0.4941895740727584,13.728478403005283,2.288079733834214,196.03232271943853,0.19065892415386462
9,-11.461043789982796,-0.47754349124928314,16.72037732062745,2.786729553437908,201.56848863648702,0.25774117983656214
10,-9.404695961624384,-0.3918623317343493,21.60938418428941,3.601564030714902,214.31744774233084,0.305749139740849
11,-3.5843925774097443,-0.14934969072540602,24.568627191358246,4.094771198559708,215.7467464893125,0.1971742007235485
12,-13.339021757245064,-0.5557925732185444,13.663697740528733,2.2772829567547888,199.6831360094002,0.22725573179307482
13,-11.356144286692142,-0.4731726786121726,14.436423576553352,2.4060705960922255,202.5367116965208,0.17407601786504898
14,-6.49848753400147,-0.2707703139167279,17.786409379623365,2.964401563270561,196.2098828878079,0.13903872770758155
15,-8.271002002060413,-0.3446250834191839,20.808211899179014,3.4680353165298357,205.49892539039183,0.26916017029324507
16,-7.327653080224991,-0.30531887834270793,17.72287930411403,2.9538132173523386,203.2905465082731,0.1417029189191066
17,1.3022623658180237,0.05426093190908432,31.157204133458436,5.192867355576406,225.21724432567134,0.21394452446476378
18,-3.21870094537735,-0.1341125393907229,26.232296208385378,4.372049368064229,221.8983874079422,0.21968965788476644
19,-11.446152731776237,-0.4769230304906766,16.26801082844031,2.711335138073385,203.68301413366135,0.23505484579151037
