episode,total_reward,mean_step_reward,total_profit_sum,mean_profit_per_agent,total_emissions,mean_gini
0,-3.493009254336357,-0.14554205226401487,23.51038984954357,3.9183983082572618,212.52019257750362,0.1696513613156374
1,-4.276460010558367,-0.17818583377326527,22.270886952173896,3.711814492028983,211.9453350774711,0.15716429612652227
2,-4.754428617656231,-0.19810119240234295,20.851614428451285,3.4752690714085475,208.36591029564443,0.138597205140051
3,-3.39273589104414,-0.1413639954601725,24.418054740526713,4.069675790087786,215.87179991407902,0.18448854035105874
4,0.03688212111592293,0.0015367550464967887,28.571243760437937,4.76187396007299,220.18694093980594,0.18958843626658373
5,-7.6882655173540115,-0.32034439655641717,20.374523747246712,3.3957539578744522,210.4524887992302,0.21795846670034577
6,-3.6853772066533566,-0.1535573836105565,23.996263427310623,3.999377237885104,214.7047637077485,0.18494180860025966
7,1.5127240978181362,0.06303017074242234,29.670940866868477,4.945156811144746,226.7566991543863,0.15218892285276517
8,-8.326805664226413,-0.34695023600943387,19.455278913432267,3.2425464855720443,206.06078632886056,0.22405363340417836
9,-3.323174938559532,-0.1384656224399805,23.33798694406869,3.889664490678115,216.3807246767683,0.1445998540777528
10,-0.3839588910341263,-0.01599828712642193,27.08040658896789,4.513401098161315,222.44442065345356,0.14675323791548806
11,-7.09814870916307,-0.2957561962151279,21.4852400199743,3.5808733366623833,212.5252272056241,0.22765628819285347
12,-7.871525101363659,-0.32798021255681914,18.910528902313672,3.1517548170522787,205.68026892759372,0.19144694595806744
13,-14.793100509792566,-0.6163791879080236,12.147886297236255,2.0246477162060423,196.1184037658022,0.23899094515689376
14,-4.760906111449003,-0.1983710879770418,21.40982849773718,3.5683047496228633,212.37143186925096,0.14389712064071822
15,-3.484224610030651,-0.1451760254179438,22.61586919298861,3.7693115321647688,214.89659673604183,0.13094298084661846
16,0.08351903781294823,0.003479959908872843,31.50597967323847,5.250996612206412,230.33260416635312,0.25148040490735873
17,-6.010396137833595,-0.2504331724097331,22.958742239687126,3.8264570399478544,209.7273626467213,0.24780306363245597
18,-4.7102600038051605,-0.1962608334918817,23.28010344528593,3.8800172408809885,216.25529963167355,0.19223261206048373
19,-13.215482119470835,-0.5506450883112848,13.124646679847501,2.187441113307917,199.18788181818672,0.20632397978550612
20,-6.002744287252426,-0.2501143453021844,20.048085697111674,3.341347616185279,208.2362053457764,0.1560792457799672
21,-7.620913937687874,-0.31753808073699474,19.828452843179548,3.3047421405299247,207.25504279743564,0.20780254676613955
22,-9.623244512826204,-0.4009685213677585,17.38416425680043,2.8973607094667386,203.5445979114811,0.20852571265456132
23,-2.7709135748445988,-0.11545473228519161,24.633446022402495,4.1055743370670825,217.29213936434826,0.16507099061816288
24,-4.5821560844779015,-0.19092317018657923,22.04455850122031,3.674093083536718,206.70547991935018,0.1787675728338676
25,-7.03255371004343,-0.2930230712518096,16.960009004425956,2.826668167404326,200.57087379411678,0.11467392727863768
26,-7.027823805809021,-0.2928259919087092,17.95951144018909,2.9932519066981818,203.79151740536327,0.1370224096835476
27,-1.4766542464494705,-0.061527260268727936,27.4910353721134,4.581839228685567,219.96134672453627,0.20678822722726317
28,-4.982510391622782,-0.20760459965094924,21.542481319076614,3.590413553179436,212.97043329221196,0.1537865292325675
29,-11.22102016583085,-0.4675425069096188,16.633891066128854,2.7723151776881423,203.82033721898915,0.23843941008632644
30,-8.027195524424314,-0.33446648018434644,18.416395995533094,3.069399332588849,204.05506511224667,0.1856626553162707
31,-2.063970699906349,-0.08599877916276455,25.583451594648068,4.263908599108011,213.18205407378264,0.18634182000672897
32,-9.902633540332317,-0.4126097308471799,16.546715094707906,2.7577858491179845,204.09029056515283,0.18831707353619512
33,-5.220216304063797,-0.21750901266932487,23.127944316365756,3.854657386060959,216.96878220034705,0.20162315583687543
34,-4.600775081664324,-0.1916989617360135,21.95997931243619,3.6599965520726983,213.7170538768769,0.15176018127119234
35,-3.1794157549738884,-0.13247565645724535,26.54772019572556,4.424620032620926,218.7844265596941,0.23888949078383473
36,1.6845225989818573,0.07018844162424405,29.39848541020183,4.899747568366972,221.01861075893976,0.1580191636721275
37,-6.348137956112623,-0.2645057481713593,19.966719318646938,3.327786553107823,209.45140677434392,0.16150921258649556
38,-6.009656719863415,-0.25040236332764226,21.00630889076274,3.5010514817937897,208.98602388548898,0.185597129287166
39,-4.038762550801039,-0.1682817729500433,24.832715760276187,4.1387859600460315,216.00098858962883,0.2205599362176112
40,-5.385700508952141,-0.22440418787300587,23.096458324813284,3.849409720802214,214.24171147006564,0.215889781109693
41,-8.472484171390533,-0.3530201738079389,16.67927240784047,2.7798787346400786,201.12568678538082,0.15363399816085202
42,-4.238484442234039,-0.1766035184264183,24.42338844202459,4.070564740337431,217.87375691352645,0.20684602614352562
43,-4.720545738935471,-0.19668940578897795,23.22035319688439,3.870058866147398,214.01134710013866,0.19726570592932546
44,-4.540044277906418,-0.18916851157943407,23.60914258439152,3.9348570973985866,217.1955547507523,0.1938876676267737
45,-3.725537020713091,-0.1552307091963788,25.577794402372092,4.262965733728682,221.0831393385306,0.21757039427815886
46,-11.025485090911388,-0.45939521212130785,18.78711729094357,3.131186215157262,206.5402823985096,0.29402495807222556
47,-12.70495530217886,-0.5293731375907859,11.347846268326975,1.8913077113878292,195.04587338538295,0.14337518757773862
48,-11.624957341700792,-0.48437322257086635,12.010312178259483,2.0017186963765803,195.03084863807453,0.12791608255071865
49,-0.9339281916618347,-0.03891367465257645,28.496158741414547,4.749359790235758,222.4120395523496,0.21320209429462963
