episode,total_reward,mean_step_reward,total_profit_sum,mean_profit_per_agent,total_emissions,mean_gini
0,-3.493009254336357,-0.14554205226401487,23.51038984954357,3.9183983082572618,212.52019257750362,0.1696513613156374
1,-4.276460010558367,-0.17818583377326527,22.270886952173896,3.711814492028983,211.9453350774711,0.15716429612652227
2,-4.754428617656231,-0.19810119240234295,20.851614428451285,3.4752690714085475,208.36591029564443,0.138597205140051
3,-3.39273589104414,-0.1413639954601725,24.418054740526713,4.069675790087786,215.87179991407902,0.18448854035105874
4,0.03688212111592293,0.0015367550464967887,28.571243760437937,4.76187396007299,220.18694093980594,0.18958843626658373
5,-7.6882655173540115,-0.32034439655641717,20.374523747246712,3.3957539578744522,210.4524887992302,0.21795846670034577
6,-3.6853772066533566,-0.1535573836105565,23.996263427310623,3.999377237885104,214.7047637077485,0.18494180860025966
7,1.5127240978181362,0.06303017074242234,29.670940866868477,4.945156811144746,226.7566991543863,0.15218892285276517
8,-8.326805664226413,-0.34695023600943387,19.455278913432267,3.2425464855720443,206.06078632886056,0.22405363340417836
9,-3.323174938559532,-0.1384656224399805,23.33798694406869,3.889664490678115,216.3807246767683,0.1445998540777528
10,-0.3839588910341263,-0.01599828712642193,27.08040658896789,4.513401098161315,222.44442065345356,0.14675323791548806
11,-7.09814870916307,-0.2957561962151279,21.4852400199743,3.5808733366623833,212.5252272056241,0.22765628819285347
12,-7.871525101363659,-0.32798021255681914,18.910528902313672,3.1517548170522787,205.68026892759372,0.19144694595806744
13,-14.793100509792566,-0.6163791879080236,12.147886297236255,2.0246477162060423,196.1184037658022,0.23899094515689376
14,-4.760906111449003,-0.1983710879770418,21.40982849773718,3.5683047496228633,212.37143186925096,0.14389712064071822
15,-3.484224610030651,-0.1451760254179438,22.61586919298861,3.7693115321647688,214.89659673604183,0.13094298084661846
16,0.08351903781294823,0.003479959908872843,31.50597967323847,5.250996612206412,230.33260416635312,0.25148040490735873
17,-6.010396137833595,-0.2504331724097331,22.958742239687126,3.8264570399478544,209.7273626467213,0.24780306363245597
18,-4.7102600038051605,-0.1962608334918817,23.28010344528593,3.8800172408809885,216.25529963167355,0.19223261206048373
19,-13.215482119470835,-0.5506450883112848,13.124646679847501,2.187441113307917,199.18788181818672,0.20632397978550612
